Name,Weekday,income
AbrahamBennet,FRIDAY,233935361
AlbertRinger,FRIDAY,357492149
AnnDull,FRIDAY,37433122
AnneRinger,FRIDAY,51753352
BurtGringlesby,FRIDAY,109360163
CharleneLocksley,FRIDAY,97761375
CherylCarson,FRIDAY,80473505
DeanStraight,FRIDAY,176048825
DirkStringer,FRIDAY,672023524
HeatherMcBadden,FRIDAY,245868794
Innesdel Castillo,FRIDAY,231816498
JohnsonWhite,FRIDAY,91757930
LiviaKarsen,FRIDAY,172939429
MarjorieGreen,FRIDAY,99954937
MeanderSmith,FRIDAY,53551958
MichaelO'Leary,FRIDAY,142326764
MichelDeFrance,FRIDAY,473980679
MorningstarGreene,FRIDAY,62929145
ReginaldBlotchet-Halls,FRIDAY,96796982
SherylHunter,FRIDAY,158669557
StearnsMacFeather,FRIDAY,28022436
SylviaPanteley,FRIDAY,91390801
AbrahamBennet,MONDAY,231845241
AlbertRinger,MONDAY,392378038
AnnDull,MONDAY,39656842
AnneRinger,MONDAY,53386961
BurtGringlesby,MONDAY,118429815
CharleneLocksley,MONDAY,108450663
CherylCarson,MONDAY,77977657
DeanStraight,MONDAY,192550177
DirkStringer,MONDAY,759341454
HeatherMcBadden,MONDAY,293014643
Innesdel Castillo,MONDAY,260992756
JohnsonWhite,MONDAY,98560782
LiviaKarsen,MONDAY,132386625
MarjorieGreen,MONDAY,97539868
MeanderSmith,MONDAY,52160238
MichaelO'Leary,MONDAY,138096278
MichelDeFrance,MONDAY,479584921
MorningstarGreene,MONDAY,67381291
ReginaldBlotchet-Halls,MONDAY,103178571
SherylHunter,MONDAY,153301531
StearnsMacFeather,MONDAY,30778276
SylviaPanteley,MONDAY,96399427
AbrahamBennet,SATURDAY,219357051
AlbertRinger,SATURDAY,359055422
AnnDull,SATURDAY,37658782
AnneRinger,SATURDAY,48579238
BurtGringlesby,SATURDAY,108212069
CharleneLocksley,SATURDAY,100507642
CherylCarson,SATURDAY,69224918
DeanStraight,SATURDAY,176094744
DirkStringer,SATURDAY,724561952
